$>n	a matter
yTwf	he walks
yTwfwn	They will go around
yTyEkm	he were to obey you
yTyqwnh	can afford it
yTyr	(that) flies
yTyrwA	they ascribe evil omens
yZhr	He reveals
yZhrwA	aware
yZhrwh	scale it
yZhrwn	they mount
yZlm	wrong
yZlmwn	wrong
yZn	think
yZnwn	guess
y_Adm	O Adam
y_wdh	tires Him
y_wsA	(in) despair
yb$r	Allah gives glad tidings
yb$rY	O good news
yb$rhm	Their Lord gives them glad tidings
yb$rk	gives you glad tidings
ybAyEnk	pledging to you
ybAyEwn	they pledge allegiance
ybAyEwnk	pledge allegiance to you
ybEv	send
ybEvhm	will resurrect them
ybEvk	will raise you
ybEvkm	He raises you up
ybEvwA	will they be raised
ybEvwn	they are raised
ybHv	it (was) scratching
ybSr	sees
ybSrwA	they perceive
ybSrwn	see
ybSrwnhm	They will be made to see each other
ybT$	strike
ybT$wn	(to) hold
ybd&A	originates
ybdhA	reveal it
ybdl	changes
ybdlh	He will substitute for him
ybdlhmA	would change for them
ybdlnA	will substitute for us
ybdlwA	change
ybdlwnh	alter it
ybdwn	they reveal
ybdyn	(to) display
ybd}	originates
ybgwn	rebel
ybgwnkm	seeking (for) you
ybgyAn	they transgress
ybkwn	weeping
yblY	(that will) deteriorate
yblg	reaches
yblgA	they reach
yblgn	reach
yblgwA	reached
yblgwn	convey
ybls	will (be in) despair
yblwkm	Allah tests you
ybn&m	O son of my mother
ybnY	O my son
ybsA	dry
ybsT	extends
ybsTwA	they stretch
ybtg	seeks
ybtgwn	seek
ybv	He disperses
ybwr	(will) perish
ybxl	withhold
ybxlwn	withhold
ybxs	diminish
ybxswn	will not be lessened
ybyn	clear
ybynhA	He makes them clear
ybytwn	spend night
yd	The Hand
ydA	hands
ydAh	His Hands
ydAk	your hands
ydAwd	O Dawood
ydE	invokes
ydEY	is invited
ydEnA	called Us
ydEwA	calls
ydEwh	calling (upon) Him
ydEwhm	(to) call them
ydEwk	calls you
ydEwkm	calls you
ydEwn	call
ydEwnh	who call him
ydEwnnY	they invite me
ydY	before
ydbr	disposes
ydbrwA	they ponder
ydfE	defends
ydh	his hand
ydk	your hand
ydnyn	to draw
ydrk	(can) grasp
ydrkh	overtakes him
ydrkkm	will overtake you
ydrswnhA	which they could study
ydryk	will make you know
ydsh	bury it
ydxl	entered
ydxlh	He will admit him
ydxlnA	will admit us
ydxlnhA	will enter it
ydxlwhA	they enter them
ydxlwn	entering
ydxlwnhA	they will enter them
ydyh	him
ydyhA	(of) them
ydynwn	they acknowledge
yfEl	does
yfElh	does it
yfElwA	they do
yfElwn	do
yfSl	He details
yfjrwnhA	causing it to gush forth
yflH	succeed
yflHwn	they will not succeed
yfqhwA	That they may understand
yfqhwh	they understand it
yfqhwn	understand
yfr	will flee
yfrEwn	O Firaun
yfrH	will rejoice
yfrHwA	they rejoice
yfrHwn	rejoice
yfrT	he will hasten
yfrTwn	fail
yfrq	is made distinct
yfrqwA	they differentiate
yfrqwn	(who) are afraid
yfsH	Allah will make room
yfsd	will spread corruption
yfsdwn	spread corruption
yfsqwn	defiantly disobey
yftH	Allah grants
yftdY	he (could be) ransomed
yftnhm	they persecute them
yftnkm	(may) harm you
yftnnkm	tempt you
yftnwk	they tempt you away
yftnwn	are tried
yftr	will it subside
yftrY	invented
yftrwn	invent
yftrynh	they invent it
yftykm	gives you a ruling
yg$Y	faints
yg$Yh	covers it
yg$YhA	it covers it
yg$Yhm	will cover them
yg$ykm	He covered you
ygAdr	leaves
ygAv	will be given abundant rain
ygAvwA	they will be relieved
ygDDn	(that) they should lower
ygDwA	they should lower
ygDwn	lower
ygfr	forgive
ygfrwA	(to) forgive
ygfrwn	forgive
ygl	he defrauds
yglY	it will boil
yglb	achieves victory
yglbwA	they will overcome
yglbwn	they will be overcome
ygll	defrauds
ygn	will be enriched
ygnY	avail
ygnhm	Allah will enrich them
ygnwA	will avail
ygnyA	they availed
ygnyh	occupying him
ygnyhm	Allah enriches them
ygnykm	Allah will enrich you
ygrnk	deceive you
ygrnkm	deceive you
ygrrk	deceive you
ygtb	backbite
ygwSwn	would dive
ygwv	Yaguth
ygwykm	let you go astray
ygyZ	enrages
ygyr	change
ygyrwA	they change
yhAjr	emigrates
yhAjrwA	emigrate
yhb	He grants
yhbT	fall down
yhd	guide
yhdY	guide
yhdnY	guide me
yhdwn	guiding
yhdwnnA	guide us
yhdyh	He guides him
yhdyhm	guide them
yhdykm	guides you
yhdyn	guides me
yhdynY	will guide me
yhjEwn	sleep
yhlk	destroy
yhlknA	destroys us
yhlkwn	they destroy
yhmn	O Haman
yhn	Allah humiliates
yhrEwn	rushing
yhrwn	O Harun
yhtdY	he is guided
yhtdwA	they (are) guided
yhtdwn	guided
yhwd	O Hud
yhwdyA	a Jew
yhyj	it dries
yhymwn	[they] roam
yjAr	(can) be protected
yjAwrwnk	they will remain your neighbors
yjEl	makes
yjElh	makes them
yjElnY	He (has) made me
yjElwh	they put him
yjElwn	set up
yjHd	deny
yjHdwn	deny
yj_rwn	cry for help
yjb	respond
yjbAl	O mountains
yjbY	are brought
yjd	find
yjdh	he finds it
yjdk	He find you
yjdl	dispute
yjdlnA	he argued with Us
yjdlwn	dispute
yjdlwnk	and argue with you
yjdwA	they find
yjdwn	find
yjdwnh	they find him
yjhd	he strives
yjhdwA	strive
yjhdwn	striving
yjhlwn	(are) ignorant
yjlyhA	can reveal [it]
yjmE	Will gather
yjmEkm	He will gather you
yjmEwn	they accumulate
yjmHwn	run wild
yjrY	moving
yjrh	dragging him
yjrmnkm	incite you
yjtbY	chooses
yjtbyk	will choose you
yjtnbwn	avoid
yjyb	responds
yjyr	protects
yjyrnY	can protect me
yjz	will be recompensed
yjzY	rewards
yjzYh	he will be recompensed for it
yjzwn	will be awarded
yk	is
yk$f	will be uncovered
yk*b	deny
yk*bk	causes you to deny
yk*bwk	they deny you
yk*bwn	lie
yk*bwnk	deny you
ykAd	Almost
ykAdwn	They almost
ykbr	(is) great
ykbrwA	they will grow up
ykbthm	suppress them
ykd	hardly
ykf	restrain
ykfhm	sufficient for them
ykfl	takes charge (of)
ykflh	will nurse and rear him
ykflwnh	who will rear him
ykfr	denies
ykfrwA	reject
ykfrwh	will they be denied it
ykfrwn	disbelieve
ykfwn	they will avert
ykfykm	enough for you
ykl&km	(can) protect you
yklf	burden
yklmh	Allah should speak to him
yklmhm	speak to them
yklmnA	speaks to us
ykn	is
yknzwn	hoard
ykrhhn	compels them
ykrhwn	they dislike
yksb	earns
yksbh	he earns it
yksbwn	earn
yktb	records
yktbwn	write
yktm	who conceal(ed)
yktmhA	conceals it
yktmn	they conceal
yktmwn	hiding
ykwn	be
ykwnA	there are
ykwnwA	be
ykwnwn	became
ykwr	He wraps
ykydwn	are plotting
ylEbwn	playing
ylEn	(is) cursed
ylEnhm	curses them
ylHdwn	deviate
ylHqwA	joined
ylbskm	(to) confuse you
ylbswA	mix
ylbswn	Wearing garments
ylbvwA	remained
ylbvwn	they (would) have stayed
yld	He begets
yldwA	they will beget
ylfZ	he utters
ylhv	he lolls out his tongue
ylj	passes
ylmzk	criticizes you
ylmzwn	criticize
ylq	will meet
ylqY	throws
ylqYh	which he will find
ylqYhA	it is granted
ylqwA	they meet
ylqwn	they cast
ylqwnh	they will meet Him
yltft	look back
yltkm	He will deprive you
yltqTh	will pick him
yltqyAn	meeting
ylwT	O Lut
ylwn	they distort
ylwnkm	(are) close to you
ym$Y	walks
ym$wn	walk
ymArwn	dispute
ymE$r	O assembly
ymHq	Destroys
ymHwA	(Is) eliminated
ymddkm	will reinforce you
ymdh	(to) add to it
ymdkm	reinforces you
ymdwnhm	they plunge them
ymhdwn	they are preparing
ymkr	plotted
ymkrwn	plot
yml	(can) dictate
ymlk	possess
ymlkwn	possess
ymn	bestows His Grace
ymnY	emitted
ymnwn	They consider (it) a favor
ymrwn	they pass
ymrym	O Maryam
ymsh	touch it
ymshm	will touch them
ymsk	upholds
ymskhn	holds them
ymskwn	hold fast
ymsnA	touches
ymsshm	touched them
ymssk	touches you
ymsskm	touched you
ymssnY	touch(ed) me
ymtEkm	He will let you
ymtEwn	enjoyment they were given
ymtrwn	disputing
ymwj	to surge
ymwsY	O Musa
ymwt	dies
ymwtwn	die
ymyn	right
ymynk	your right hand
ymytkm	causes you to die
ymytnY	will cause me to die
ymyz	He separates
yn$&A	is brought up
yn$r	Will spread
yn$rwn	raise (the dead)
yn$}	will produce
yn*rwn	they are warned
ynAd	will call
ynAdY	calling
ynAdwn	are being called
ynAdwnhm	They will call them
ynAdwnk	call you
ynAdyhm	He will call them
ynAl	reach
ynAlh	reaches Him
ynAlhm	will reach them
ynAlwA	they obtained
ynAlwn	they inflict
ynAr	O fire
ynEq	shouts
ynHtwn	carve
ynSr	He helps
ynSrh	help Him
ynSrkm	helps you
ynSrnA	will help us
ynSrnY	would help me
ynSrwn	be helped
ynSrwnh	(to) help him
ynSrwnhm	they will help them
ynSrwnkm	they help you
ynTlq	expresses well
ynTq	speaks
ynTqwn	speak
ynZr	look
ynZrwA	they look
ynZrwn	looking
ynb&A	Will be informed
ynb>	he was informed
ynbgY	(it) suits
ynbt	He causes to grow
ynbwEA	a spring
ynbyE	(as) springs
ynb}hm	will inform them
ynb}k	can inform you
ynb}km	who informs you
ynfDwA	they disband
ynfE	benefits
ynfEh	benefits him
ynfEhm	profits them
ynfEk	benefit you
ynfEkm	benefit you
ynfEnA	benefits us
ynfEwnkm	(do) they benefit you
ynfd	will be exhausted
ynfq	spends
ynfqwn	spend
ynfqwnhA	spend it
ynfwA	they be exiled
ynfx	will be blown
ynhY	forbids
ynhYhm	forbid them
ynhYkm	forbids you
ynhwn	forbade
ynjyh	it (could) save him
ynjykm	saves you
ynkH	marry
ynkHhA	marry her
ynkHn	(from) marrying
ynkr	deny
ynkrwnhA	they deny it
ynkv	he breaks
ynkvwn	broke (the word)
ynq*wn	would be saved
ynqD	collapse
ynqDwn	break
ynqS	is lessened
ynqSwkm	they have failed you
ynqlb	return
ynqlbwn	they will return
ynsA'	O wives
ynsY	forgets
ynsfhA	Will blast them
ynslwn	descend
ynsynk	causes you to forget
yntSrwn	help themselves
yntZr	awaits
yntZrwn	they wait
ynth	cease
ynthwA	they cease
ynthwn	cease
ynwH	O Nuh
ynyb	turns
ynzE	stripping
ynzEnk	So let them not dispute with you
ynzfwn	will be intoxicated
ynzg	sows discord
ynzgnk	whisper comes to you
ynzl	descends
yq*f	projects
yqAl	is said
yqD	he has accomplished
yqDY	judges
yqDwn	they judge
yqS	relates
yqSrwn	they cease
yqSwn	relating
yqTEwn	they cross
yqbD	withholds
yqbl	accepts
yqdm	He will precede
yqdr	has power
yqdrwn	they have power
yql	says
yqlb	twisting
yqnT	despairs
yqnTwn	despair
yqnt	is obedient
yqr'wn	will read
yqrD	will lend
yqrbwA	so let them not come near
yqsm	will swear
yqsmwn	distribute
yqtl	kills
yqtln	they will kill
yqtlwA	they fight
yqtlwk	kill you
yqtlwkm	fight you
yqtlwn	fight
yqtlwnkm	fight you
yqtlwnnY	kill me
yqtrf	earns
yqtrfwn	commit
yqtrwA	and are not stingy
yqttlAn	fighting each other
yqwl	say
yqwlA	they [both] say
yqwlwA	they say
yqwlwn	say
yqwm	stands
yqwmAn	stand
yqwmnA	O our people
yqwmwn	they can stand
yqymA	they both (can) keep
yqymwA	(to) establish
yqymwn	establish
yqyn	certain
yqynA	certainly
yr	see
yr$dwn	(be) led aright
yrA'wn	make show
yrAd	intended
yrDEn	shall suckle
yrDY	He likes
yrDh	He likes it
yrDwh	they should please Him
yrDwnh	they will be pleased (with) it
yrDwnkm	They satisfy you
yrHmkm	(may) have mercy upon you
yrHmnA	has Mercy on us
yrY	sees
yrYhA	he (can) see it
yrYk	sees you
yrYkm	see you
yrb	O my Lord
yrbwA	(will) increase
yrd	wants
yrdk	He intends for you
yrdn	intends for me
yrdwkm	they turn you away
yrdwn	they will be returned
yrdwnkm	they could turn you back
yrfE	(was) raising
yrfEh	raises it
yrgb	will turn away
yrgbwA	they prefer
yrh	sees him
yrhbwn	(are) fearful
yrhq	(will) cover
yrhqhmA	he would overburden them
yrjE	return
yrjEwn	return
yrjmwkm	they will stone you
yrjwA	hope
yrjwn	hope
yrkDwn	were fleeing
yrkEwn	they bow
yrkbwn	they ride
yrm	throws
yrmwn	accuse
yrqbwA	they do not regard (the ties)
yrqbwn	they respect (the ties)
yrsl	send
yrtAb	may doubt
yrtAbwA	doubt
yrtE	(to) enjoy
yrtd	returns
yrtdd	turns away
yrvhA	will inherit it
yrvnY	Who will inherit me
yrvwn	inherit
yrwA	they see
yrwn	they see
yrwnh	see it
yrwnhA	see it
yrwnhm	They were seeing them
yryd	will
yrydA	they both wish
yrydAn	they intend
yrydwA	they intend
yrydwn	desire
yryhm	will show them
yrykhm	you (where) shown them
yrykm	shows you
yrykmwhm	He showed them to you
yrzq	provides
yrzqhA	provides (for) it
yrzqkm	provides you
yrzqwn	they are given provision
ysAqwn	they were driven
ysEY	running
ysEwn	strive
ysHbwn	they will be dragged
ysTrwn	they write
ysTwn	attack
ys_l	He asks
ys_lh	Asks Him
ys_lk	Ask you
ys_lkm	ask (of) you
ys_lkmwhA	He were to ask you for it
ys_lwn	asking
ys_lwnk	They ask you
ys_m	get tired
ys_mwn	tire
ysbH	Glorify
ysbHn	glorifying
ysbHwn	glorify
ysbqwnA	they can outrun Us
ysbqwnh	they (can) precede Him
ysbtwn	they had Sabbath
ysjd	prostrate
ysjdAn	both prostrate
ysjdwA	they prostrate
ysjdwn	prostrate
ysjn	he be imprisoned
ysjrwn	they will be burned
yskn	He can cause the wind to become still
yslT	gives power
yslbhm	snatched away from them
yslk	makes to march
yslkh	He will make him enter
yslm	submits
yslmwn	they will submit
ysmE	hear
ysmEhA	he heard them
ysmEwA	they hear
ysmEwn	hear
ysmEwnkm	they hear you
ysmn	it nourishes
ysmrY	O Samiri
ysqY	watered
ysqwn	watering
ysr	it passes
ysrA	ease
ysrEwn	hasten
ysrf	he should exceed
ysrfwA	(are) not extravagant
ysrh	He made easy for him
ysrnA	We have made easy
ysrnh	We have made it easy
ysrq	he steals
ysrqn	they will steal
ysrwn	they conceal
yst>xrwn	seek to delay
ystDEf	oppressing
ystDEfwn	considered weak
ystEffn	they modestly refrain
ystEjl	Seek to hasten
ystEjlwn	they hasten
ystEjlwnk	They ask you to hasten
ystEtbwA	they ask for favor
ystEtbwn	will be asked to appease
ystHY	ashamed
ystHbwn	love more
ystHsrwn	they tire
ystSrxh	cried out to him for help
ystTE	able to
ystTyE	able
ystTyEwn	able
yst_*nk	ask your leave
yst_*nwh	they (have) asked his permission
yst_*nwnk	ask your permission
yst_xrwn	(can) delay it
ystb$rwn	rejoice
ystbdl	He will replace you
ystftHwn	(that), pray for victory
ystftwnk	They seek your ruling
ystfzhm	drive them out
ystg$wn	they cover (themselves)
ystgfr	seeks forgiveness
ystgfrwA	they ask forgiveness
ystgfrwn	seek forgiveness
ystgyvAn	seek help
ystgyvwA	they call for relief
ysthz'wn	mock
ysthz}	mocks
ystjyb	respond
ystjybwA	respond
ystjybwn	they respond
ystkbrwn	arrogant
ystmE	listen
ystmEwn	listen
ystnbTwnh	draw correct conclusion (from) it
ystnkHhA	marry her
ystnkf	disdains
ystnq*wh	they (could) take it back
ystqdmwn	seek to advance (it)
ystqym	take a straight way
ystsxrwn	they mock
ystvnwn	making exception
ystwY	equal
ystwfwn	they take in full
ystwn	they be equal
ystwyAn	they equal
ystxfnk	take you in light estimation
ystxfwn	(can) they hide
yswmhm	would afflict them
yswmwnkm	who were afflicting you
ysxTwn	(are) enraged
ysxr	ridicule
ysygh	(to) swallowing it
ysyr	easy
ysyrA	easy
ysyrkm	enables you to travel
ysyrwA	travel
yt*kr	pay heed
yt*krwn	remember
yt>xr	stay behind
ytDrEwn	humble themselves
ytEArfwn	they will recognize each other
ytEd	transgresses
ytHAjwn	they will dispute
ytHAkmwA	go for judgment
ytThrwA	purify themselves
ytThrwn	who keep clean and pure
ytb	repent
ytbE	follow
ytbEhA	followed [it]
ytbEhm	follow them
ytbEwkm	will they follow you
ytbEwn	follow
ytbdl	exchanges
ytbw>	to settle
ytbyn	becomes clear
ytdbrwn	they ponder
ytfDl	assert (his) superiority
ytfTrn	get torn
ytfjr	gush forth
ytfkrwA	they ponder
ytfkrwn	reflect
ytfrqA	they separate
ytfrqwn	they will become separated
ytfy&A	Incline
ytgAmzwn	they winked at one another
ytgyr	changes
ytjrEh	He will sip it
ytk_wn	they recline
ytkbrwn	are arrogant
ytklm	speaks
ytklmwn	they will speak
ytlY	is recited
ytlqY	receive
ytlwA	reciting
ytlwmwn	blaming each other
ytlwn	recite
ytlwnh	recite it
ytm	perfect
ytmAsA	they touch each other
ytmTY	swaggering
ytmY	orphans
ytmnwh	they wish for it
ytmnwnh	they will wish for it
ytmtEwn	they enjoy
ytnAhwn	forbidding each other
ytnzEwn	they disputed
ytnzl	Descends
ytq	fears
ytqY	will shield
ytqbl	accepts
ytqdm	proceed
ytqwn	fear
ytrAjEA	they return to each other
ytrbSn	shall wait
ytrbSwn	are waiting
ytrddwn	they waver
ytrk	he will be left
ytrkm	will deprive you
ytrkwA	they will be left
ytrqb	(and) vigilant
ytsA'lwn	inquiring
ytsllwn	slip away
ytsnh	change with time
ytwb	turns
ytwbwA	they repent
ytwbwn	they repent
ytwfY	dies
ytwfYhn	comes to them
ytwfYkm	takes your (soul)
ytwfwn	die
ytwfwnhm	(to) take them in death
ytwkl	put trust
ytwklwn	put their trust
ytwl	turns away
ytwlY	protects
ytwlhm	makes them allies
ytwlwA	they turn away
ytwlwn	they turn away
ytwlwnh	take him as an ally
ytwrY	He hides himself
ytx*	take
ytx*wA	take
ytx*wh	they will take it
ytx*wn	take
ytx*wnk	they take you
ytxTfkm	might do away with you
ytxbTh	confounds him
ytxftwn	They are murmuring
ytxlfwA	they remain behind
ytxyrwn	they select
ytyhwn	they will wander
ytymA	An orphan
ytymyn	for two orphan boys
ytzkY	he purifies
yvbt	Allah keeps firm
yvnwn	fold up
yvqfwkm	they gain dominance over you
yvrb	(of) Yathrib!
yvxn	he has battled strenuously
ywAdwn	loving
ywEZ	is admonished
ywEZwn	they were advised
ywEdwn	promised
ywEwn	they keep within themselves
ywH	it was inspired
ywHY	reveals
ywSY	was made
ywSl	be joined
ywSykm	Instructs you
ywSyn	they have made
ywbqhn	He could destroy them
ywd	like
ywdwA	they would wish
ywf	will be repaid in full
ywfDwn	hastening
ywfY	will be paid back in full
ywfq	will cause reconciliation
ywfwn	fulfill
ywfyhm	Allah will pay them in full
ywjhh	he directs him
ywld	He is begotten
ywlhm	turns to them
ywlj	He merges
ywlwkm	they will turn (towards) you
ywlwn	they would turn
ywm	Day
ywmA	a day
ywmhm	their Day
ywmkm	(of) your day
ywmyn	two days
ywns	Yunus
ywq	is saved
ywqE	cause
ywqd	(which) is lit
ywqdwn	they heat
ywqnwn	certain
ywrY	to hide
ywrv	(whose wealth) is to be inherited
ywrvhA	He causes to inherit it
ywsf	Yusuf
ywsws	whispers
ywvq	will bind
ywzEwn	(were) set in rows
yx$	fear
yx$Y	fear
yx$YhA	fears it
yx$wn	fear
yx*lkm	He forsakes you
yxAf	fear
yxAfA	both fear
yxAfh	fears Him
yxAfwA	they would fear
yxAfwn	fear
yxAlfwn	oppose
yxSfAn	(to) fasten
yxSmwn	are disputing
yxTf	snatches away
yxdEwk	deceive you
yxdEwn	they deceive
yxfY	is hidden
yxff	lighten
yxfwn	hidden
yxfyn	they conceal
yxl	so will be free
yxlf	fail
yxlfh	will compensate it
yxlfwn	succeeding
yxlq	create
yxlqkm	He creates you
yxlqwA	create
yxlqwn	created
yxrSwn	lie
yxrbwn	they destroyed
yxrj	leaves
yxrjAkm	they drive you out
yxrjhm	He brings them out
yxrjkm	drive you out
yxrjn	they should leave
yxrjnkmA	(let) him drive you both
yxrjwA	come out
yxrjwk	drive you out
yxrjwkm	drive you out
yxrjwn	driving out
yxrjwnhm	they bring them out
yxrwA	fall
yxrwn	they fall
yxsf	Allah will cave
yxsr	will lose
yxsrwn	they give less
yxtAnwn	deceive
yxtS	chooses
yxtSmwn	quarreling
yxtlfwn	differ
yxtm	He would seal
yxwDwA	they engage
yxwDwn	engage (in vain talks)
yxwf	threatens
yxyl	seemed
yxzY	will be disgraced
yxzyh	disgracing him
yxzyhm	He will disgrace them
yyHyY	O Yahya
yzAl	will cease
yzAlwn	they will cease
yzEmwn	claim
yzdh	increase him
yzdhm	increased them
yzfwn	hastening
yzg	deviated
yzjY	drives
yzkY	purifies
yzkryA	O Zakariya
yzkwn	claim purity
yzkyhm	purify them
yznwn	commit unlawful sexual intercourse
yznyn	they will commit adultery
yzrwn	they bear
yzwjhm	He grants them
yzyd	increase
yzydhm	it increases them
yzydwn	more
yzyg	deviated
y}s	despair
y}sn	have despaired
y}swA	they despair
zAdhm	it increased them
zAdth	(has) increased [it]
zAdthm	they increase them
zAdwhm	they increased them
zAdwkm	they (would) have increased you
zAg	swerved
zAgt	grew wild
zAgwA	they deviated
zAhq	vanishing
zAlt	ceased
zAltA	they should cease
zAn	a fornicator
zAnyp	a fornicatress
zEm	Claim
zEmt	you have claimed
zEmtm	you claim
zEym	(is) responsible
zHfA	advancing
zHzH	is drawn away
zbd	a foam
zbdA	a foam
zbr	sheets
zbrA	(into) sects
zbwrA	Zaboor
zd	add
zdnY	Increase me
zdnhm	We will increase them
zfyr	(is) sighing
zhrp	splendor
zhwqA	(bound) to perish
zjAjp	a glass
zjrA	strongly
zjrp	(will be) a cry
zkY	(would) have been pure
zkYhA	purifies it
zkryA	Zakariya
zkwp	zakah
zkyA	pure
zkyp	pure
zlfY	(in) position
zlfp	approaching
zlltm	you slip
zlqA	slippery
zltm	you ceased
zlzAlA	(with a) shake
zlzAlhA	(with) its earthquake
zlzlp	convulsion
zlzlt	is shaken
zmhryrA	freezing cold
zmrA	(in) groups
znym	utterly useless
zqwm	Zaqqum
zrE	cultivation
zrEA	crops
zrqA	blue-eyed
zrtm	you visit
zwAl	end
zwj	kind
zwjA	a spouse
zwjAn	(in) pairs
zwjh	his wife
zwjhA	its mate
zwjk	your wife
zwjnkhA	We married her to you
zwjt	are paired
zwjyn	pairs
zxrf	ornament
zxrfhA	its adornment
zyAdp	(is) an increase
zyd	Zaid
zyg	(is) perversity
zyn	Beautified
zynA	[We] adorned
zynp	splendor
zynth	his adornment
zynthn	their adornment
zyntkm	your adornment
zythA	its oil
zytwnp	an olive
{$dd	Reinforce
{$hdwA	Bear witness
{$kr	Be grateful
{$m>zt	shrink with aversion
{$rH	Expand
{$tdt	blows furiously
{$tht	desire
{$tmlt	contains
{$trY	(has) purchased
{$trYh	buys it
{$trwA	bought
{&tmn	is entrusted
{*hb	Go
{*hbA	Go both of you
{*hbwA	Go
{*kr	Remember
{*krnY	Mention me
{*krwA	Remember
{DTr	(is) forced
{DTrrtm	you are compelled
{Drb	Strike
{Drbwh	Strike him
{EbdwA	worship
{EbdwnY	you worship Me
{EdlwA	Be just
{ElmwA	Know
{Eml	make
{EmlwA	Do
{EtdY	transgresses
{EtdwA	transgressed
{EtdynA	we have transgressed
{Etmr	performs Umrah
{EtrYk	have seized you
{EtrfwA	(who have) acknowledged
{Etzlhm	he left them
{Etzltmwhm	you withdraw from them
{Etzlwkm	they withdraw from you
{H$rwA	Gather
{Hkm	judge
{Hml	Load
{Html	he (has) burdened (himself)
{HtmlwA	they bear
{STfY	chose
{STfYh	has chosen him
{STfYk	(has) chosen you
{STfynA	We have chosen
{STfynh	We chose him
{STfytk	have chosen you
{Sbr	Be patient
{SbrwA	Be steadfast
{SlwhA	Burn in it
{SnE	construct
{Srf	Avert
{TlEt	you had looked
{Tm>n	he is content
{Tm>nntm	you are secure
{Tms	Destroy
{TrHwh	cast him
{TyrnA	We consider you a bad omen
{bEv	Appoint
{blEY	Swallow
{bn	son
{bnY	my son
{bnh	(to) his son
{bnk	your son
{bnt	daughter
{bntY	(of) my daughters
{bnwA	Build
{btdEwhA	they innovated
{btgA'	seeking
{btgY	seeks
{btgwA	they had sought
{btgyt	you desire
{btlY	tried
{btlYh	try him
{byDt	turn white
{dArkwA	they had overtaken one another
{dE	Pray
{dEhn	call them
{dEwA	Call
{dEwhm	Call them
{dEwnY	Call upon Me
{dfE	Repel
{dfEwA	defend
{drk	is arrested
{dxl	Enter
{dxlA	Enter
{dxlY	Enter
{dxlwA	Enter
{dxlwhA	Enter it
{fEl	Do
{ftH	Decide
{ftdY	he offered as ransom
{ftdt	she ransoms
{ftrA'	inventing (lies)
{ftrY	invents
{ftrYh	he invented it
{ftrynA	we would have fabricated
{ftryth	I have invented it
{gdwA	Go early
{gfr	forgive
{gtrf	takes
{hbT	Go down
{hbTA	Go down
{hbTwA	Go down
{hdnA	Guide us
{htdY	is guided
{htdwA	they are guided
{htdyt	I am guided
{htdytm	you have been guided
{htzt	it gets stirred
{jEl	put
{jElnY	Make me
{jElwA	Put
{jhrwA	proclaim
{jtbYh	He chose him
{jtbYkm	(has) chosen you
{jtbh	chose him
{jtbythA	you devised it
{jtmEt	gathered
{jtmEwA	they gathered together
{jtnbwA	avoid
{jtrHwA	commit
{jtvt	uprooted
{k$f	Remove
{kfr	Disbelieve
{ktAlwA	they take a measure
{ktsb	he earned
{ktsbn	they earned
{ktsbt	it earned
{ktsbwA	they earned
{kttbhA	which he has had written
{l$Er	[the] poetry
{l$ErY	(of) Sirius
{l$H	(by) greed
{l$dyd	the severe
{l$fEp	the intercession
{l$fEyn	(of) the intercessors
{l$hdA'	the witnesses
{l$hdp	the evidence
{l$hdyn	the witnesses
{l$hr	the month
{l$hwr	(of) the months
{l$hwt	the lusts
{l$jr	the tree
{l$jrp	the tree
{l$kryn	the grateful
{l$kwr	(are) grateful
{l$mAl	the left
{l$ms	the sun
{l$qp	the distance
{l$r	the evil
{l$rAb	(is) the drink
{l$rk	associating partners
{l$tA'	(of) winter
{l$wkp	(of) the armed
{l$yTn	Shaitaan
{l$yTyn	the devils
{l'AfAq	the horizons
{l'Aflyn	the ones that set
{l'Alhp	the gods
{l'Amnyn	the secure
{l'Amrwn	those who enjoin
{l'Avmyn	the sinners
{l'Axr	the Last
{l'Axrp	the last
{l'Axryn	the others
{l'Ayp	the sign
{l'Ayt	the signs
{l'Azfp	the Approaching
{l*bAb	the fly
{l*hb	the gold
{l*kr	the male
{l*krAn	the males
{l*krY	the reminder
{l*kwr	[the] males
{l*l	weakness
{l*lp	the humiliation
{l*nb	(of) the sin
{l*nwb	the sins
{l*}b	a wolf
{l<Hsn	good
{l<SbAH	(of) the daybreak
{l<SlH	the reform
{l<bl	the camels
{l<nfAq	(of) spending
{l<njyl	the Injeel
{l<ns	the men
{l<nsn	man
{l<rbp	having no physical desire
{l<slm	Islam
{l<vm	sins
{l<ymn	faith
{l>$hd	the witnesses
{l>$hr	the sacred months
{l>$qY	the wretched one
{l>$r	the insolent one
{l>$rAr	the bad ones
{l>*l	the more humble
{l>*lyn	the most humiliated
{l>*qAn	the chins
{l>EdA'	the enemies
{l>Ejmyn	(of) the non-Arabs
{l>ElY	the Highest
{l>Elwn	[the] superior
{l>EmY	the blind
{l>EnAq	the necks
{l>ErAb	the bedouins
{l>ErAf	the heights
{l>Erj	the lame
{l>Eyn	the eyes
{l>Ez	the more honorable
{l>HAdyv	the events
{l>HbAr	the rabbis
{l>Hlm	(of) the dreams
{l>HmAl	pregnant
{l>HyA'	(are) the living
{l>HzAb	the sects
{l>SfAd	chains
{l>SnAm	the idols
{l>SwAt	the voices
{l>Swt	(of all) sounds
{l>Tfl	the children
{l>bSr	the eyes
{l>brAr	the righteous
{l>btr	the one cut off
{l>bwb	the doors
{l>byD	[the] white
{l>dbAr	the backs
{l>dbr	the backs
