$>n	durumda
wySdwn	ve çevirirler
wySlH	ve düzeltecektir
wySlY	ve girecektir
wySnE	ve yapıyordu
wySrfh	ve onu öteye çevirir
wyTAf	ve dolaştırılır
wyTEmwn	ve yedirirler
wyThrkm	ve sizi temizlemek
wyTwf	dolaşır
wyTyEwn	ve ita'at ederler
wy_Adm	Adem
wyb$r	ve müjdeler
wybS:T	açar da
wybTl	ve ortadan kaldırsın
wybgwn	ve saldıranlar
wybgwnhA	ve onu isterler
wybqY	baki kalacaktır
wybsTwA	ve uzatırlar
wybyn	ve açıklar
wydE	ve du'a etmektedir
wydEwn	ve da'vet edilecekleri
wydEwnnA	ve bize du'a ederlerdi
wydr&A	ve kaldırır
wydr'wn	ve savarlar
wydxlh	ve onu sokar
wydxlhm	onları sokacaktır
wydxlkm	sizi sokar
wyfEl	ve yapar
wyfElwn	ve yapan
wyfsdwn	ve bozgunculuk yaparlar
wygfr	ve bağışlar
wyhb	ve bahşeder
wyhdY	ve iletir
wyhdyh	ve onu götürür
wyhdyhm	ve iletir
wyhdyk	ve seni iletsin (diye)
wyhdykm	ve sizi iletmek
wyhlk	ve yok etmeğe
wyhy}	ve hazırlasın
wyjEl	ve koyup
wyjElh	ve eder
wyjElkm	ve sizi yapan
wyjElwn	ve ayırıyorlar
wyjdl	ve mücadele ediyorlar
wyjrkm	ve sizi korusun
wyjzY	ve mükafatlandırsın diye
wyjzyhm	ve mükafatlandırması içindir
wyk$f	ve kaldıran
wykfr	ve örter
wykfrwn	ve inkar ederler
wykfwA	(saldırıdan) çekmezlerse
wyklm	ve konuşacak
wyktmwn	ve gizlerler
wykwn	ve olması için
wykwnwn	ve olacaklardır
wykwr	ve örter
wylEb	ve oynasın
wylEbwA	ve oynasınlar
wylEn	ve la'netlersiniz
wylEnhm	ve la'net eder
wylbswn	ve giyerler
wylhhm	ve onları oyalasın
wylqwA	ve istemezlerse
wylqwn	ve karşılanacaklardır
wym$Y	ve geziyor
wym$wn	ve gezerlerdi
wymH	ve mahveder
wymHq	ve mahvetmesi için
wymddkm	ve size yardım etsin
wymdhm	ve onları bırakır
wymkr	tuzak kuruyordu
wymkrwn	onlar tuzak kurarlarken
wymnEwn	ve esirgerler
wymnyhm	ve umut verir
wymsk	ve tutuyor
wymyt	ve öldürür
wyn$r	ve  yayan
wyn$}	ve yapan
wyn*r	ve uyarması için
wyn*rwnkm	ve sizi uyaran
wynEh	ve olgunlaştığı
wynSrk	ve sana yardım etsin (diye)
wynSrkm	ve sizi üstün getirsin
wynSrwn	ve yardım ederler
wyn_wn	hem de uzak dururlar
wynfqwA	ve infak etsinler
wynhY	ve meneder
wynhYhm	ve kendilerini meneden
wynhwn	ve men'eden
wynjY	ve kurtarır
wynqlb	ve dönecektir
wynzl	ve indirir
wyq*fwn	ve atıyorlardı
wyqTE	ve kesmek
wyqTEwn	ve keserler
wyqbDn	açıp yumarak
wyqbDwn	ve sıkı tutarlar
wyqdr	ve kısar
wyqllkm	ve sizi de azaltıyordu
wyqtlwn	ve öldürenler
wyqwl	ve der
wyqwlwA	ve derler
wyqwlwn	ve derler
wyqwm	kavmim
wyqymwA	ve kılmaları
wyqymwn	ve kılarlar
wyrDyn	ve razı olmalarına
wyrHm	ve acır
wyrY	ve görürler
wyrbY	ve artırır
wyrjwA	ve uman
wyrjwn	ve umarlar
wyrsl	ve gönderir
wyrv	ve mirasçı olsun
wyryd	ve istiyor
wyrydwn	ve isterler
wyrykm	size gösteriyor
wyrzqh	ve onu rızıklandırır
wysEwn	ve koşarlar
wys_lwnk	ve sana sorarlar
wysbH	ve tesbih ederler
wysbHwnh	ve O'nu tesbih ederler
wysfk	döken
wyslmwA	ve teslim olmadıkça
wysmA'	gök
wysqY	kendisine içirilir
wysqwn	ve onlara içirilir
wysr	ve kolaylaştır
wysrEwn	ve koşarlar
wystEjlwnk	senden çabuk istiyorlar
wystHY	ve sağ bırakıyordu
wystHywn	sağ bırakıyorlardı
wyst_*n	ve izin istiyordu
wystb$rwn	ve müjdelemek isterler
wystbdl	ve yerinize getirir
wystftwnk	senden fetva istiyorlar
wystgfrwA	ve istiğfar etmekten
wystgfrwn	ve mağfiret dilerler
wystgfrwnh	O'ndan af dilemiyorlar mı?
wysthz>	ve alay edildiğini
wystjyb	ve dileklerini kabul eder
wystkbr	ve büyüklük taslarsa
wystnb_wnk	senden soruyorlar
wystxlf	ve yerinize getirir
wystxlfkm	ve sizi hakim kılar
wystxrjA	ve çıkarsınlar
wysxrwn	ve alay ederler
wytEd	ve aşarsa
wytElmwn	onlar öğreniyorlardı
wytbE	ve uyar
wytfkrwn	ve düşünürler
wytjnbhA	ve ondan kaçınır
wytlwh	ve onu izleyen
wytm	ve tamamlayacaktır
wytmtEwA	ve eğlensinler
wytnjwn	ve gizli gizli konuşuyorlar
wytqh	ve sakınırsa
wytrbS	ve gözetler
wytwb	ve bağışlamak
wytwlwA	döner(gider)ler
wytx*	ve vesile sayar
wytx*hA	ve onu edinmek için
wytxTf	kaçırılırken
wytymA	ve yetime
wyvbt	ve sağlam tutar
wywlj	ve sokar
wywlwn	ve dönüp kaçacaklardır
wywm	O gün
wywns	ve Yunus'a
wywsf	ve Yusuf'a
wyx$	ve korkarsa
wyx$wn	ve saygılı olur
wyx$wnh	ve O'ndan korkarlar
wyxAfwn	ve korkarlar
wyxld	ve kalır
wyxlq	yaratmaktadır
wyxrj	ve çıkaran
wyxrjhm	ve onları çıkarır
wyxrjkm	ve tekrar çıkaracaktır
wyxrwn	ve kapanırlar
wyxtAr	ve seçer
wyxwfwnk	ve seni korkutuyorlar
wyxzhm	ve onları rezil etsin
wyzdAd	ve artsın diye
wyzdkm	ve katsın
wyzkyhm	ve onları yücelten
wyzkykm	ve sizi temizleyen
wyzyd	ve artırır
wyzydhm	ve daha fazlası için
wzAdh	ve onun artırdı
wzAdhm	ve onların artırır
wzAdkm	ve size verdi
wzdnhm	biz de onların artırmıştık
wzhq	ve gitti
wzkryA	ve Zekeriyya'ya
wzkwp	ve temizlik
wzlfA	ve yakın vakitlerinde
wzlzlwA	ve sarsılmışlardı
wznwA	tartın
wznwhm	tarttıkları
wzr	yükünü
wzrE	ve ekinler
wzrwE	ve ekinler(den)
wzwjh	ve karısının
wzwjk	ve eşin
wzwjnhm	onları evlendirmişizdir
wzwrA	ve yalan
wzxrfA	ve (nice) süsler
wzyAdp	ve fazlası
wzyn	ve süsledi
wzynA	ve biz donattık
wzynh	ve onu süsledi
wzynhA	ve onu süsledik
wzynp	ve süstür
wzynthA	ve süsünü
wzyrA	bir vezir
wzytwnA	ve zeytin
w{$dd	ve bağla
w{$hd	şahid ol
w{$hdwA	ve şahid olun
w{$krwA	ve şükredin
w{$rbY	ve iç
w{$rbwA	ve için
w{$tEl	ve tutuştu
w{$trwA	ve aldılar
w{*kr	an
w{*krn	ve hatırlayın
w{*krwA	ve anın
w{*krwh	O'nu anın
w{Dmm	ve sok
w{Drb	ve anlat
w{DrbwA	ve vurun
w{Drbwhn	ve onları dövün
w{Ebd	ve kulluk et
w{EbdwA	ve kulluk edin
w{Ebdwh	ve O'na tapın
w{Ef	ve affet
w{Elm	bil ki
w{ElmwA	bilin ki
w{EmlwA	ve yapın
w{EtSmwA	ve yapışın
w{H*rhm	ve onlardan sakın
w{H*rwA	ve sakının
w{HSrwhm	ve hapsedin
w{HfZwA	ve koruyun
w{Hll	ve çöz
w{STbr	ve dayan
w{STfYk	ve seni üstün kıldı
w{STnEtk	ve seni yetiştirdim
w{Sbr	sabret
w{SbrwA	ve sabredin
w{SfH	ve aldırma
w{SfHwA	hoş görün
w{SnE	ve yap
w{Tm>nwA	ve gönüllerini kaptıran(lar)
w{bEv	gönder
w{bn	ve
w{bnhA	ve oğlunu
w{btg	tut
w{btgA&km	ve aramanızdır
w{btgA'	ve bulmak için
w{btgwA	ve arayın
w{btlwA	deneyin
w{byDt	ve ağardı
w{dE	çağır
w{dEwA	çağırın
w{dEwh	O'na du'a edin
w{dkr	hatırladı
w{dxlY	ve gir
w{dxlwA	girin
w{fElwA	ve işleyin
w{gDD	ve kıs
w{gfr	bağışla
w{glZ	ve sert davran
w{hdnA	bizi götür
w{hjrhm	ve onlardan ayrıl
w{hjrnY	benden ayrıl, git
w{hjrwhn	onlara sokulmayın
w{jEl	ve ver
w{jElh	ve onu yap
w{jElnA	bizi yap
w{jElnY	ve beni kıl
w{jElwA	ve edinin (diye)
w{jnbnY	beni uzak tut
w{jtbynA	ve seçtiğimiz
w{jtbynhm	onları seçtik
w{jtnbwA	ve kaçının
w{kfrwA	ve inkar edin
w{kswhm	ve giydirin
w{ktb	ve yaz
w{l$ErA'	ve Şa'irler
w{l$fE	ve çift'e
w{l$hdA'	ve şahidler
w{l$hdp	ve açığı
w{l$hr	ve ayı (kıldı)
w{l$jr	ve ağaçlar
w{l$jrp	ve ağacı
w{l$mA}l	ve soldan
w{l$ms	ve güneş
w{l$yTyn	ve şeytanları
w{l'ASAl	ve akşam
w{l'Axr	ve sondur
w{l'Axrp	ve ahiret
w{l*kr	ve Zikir(Kitap)dandır
w{l*krt	ve zikreden kadınlar
w{l*kryn	zikreden erkekler
w{l*ryt	kaldıran(rüzgar)lara andolsun
w{l<Hsn	ve ihsanı
w{l<njyl	ve İncil
w{l<ns	ve insan
w{l<vm	ve günahı
w{l<ymn	ve iman
w{l>*Y	ve eziyet etmekle
w{l>*n	ve kulağa
w{l>Enb	ve üzümler
w{l>HbAr	ve alimlere
w{l>HzAb	ve kollar
w{l>Sm	ve sağırın
w{l>bSr	ve gözler
w{l>brS	ve alacalıyı
w{l>f_dp	ve gönüller
w{l>gll	ve prangaları
w{l>mr	ve emir
w{l>myn	ve ümmilere
w{l>nEm	davarlardan
w{l>nSAb	ve dikili taşlar
w{l>nSAr	ve Ensarı
w{l>nf	ve buruna
w{l>nfs	ve canlarınızın
w{l>nvY	kadın
w{l>qrbwn	ve akrabanın
w{l>qrbyn	ve yakınlar
w{l>rD	yerin
w{l>rHAm	ve akrabalık(bağlarını kırmak)tan
w{l>sbAT	ve sıbtlara
w{l>wld	ve evladda
w{l>zlm	ve şans okları
w{lDfAdE	ve kurbağalar
w{lDll	ve bir sapıklık
w{lDrA'	ve darlıkta
w{lE$Y	akşam
w{lE*Ab	ve azab
w{lEAfyn	ve affederler
w{lESyAn	ve isyanı
w{lEbd	köle
w{lEdwn	ve düşmanlık
w{lEdyt	andolsun koşanlara (atlara)
w{lEkfyn	ibadete kapananlar
w{lEml	ve amel
w{lEmlyn	ve çalışan memurlara
w{lEmrp	ve ömreyi
w{lEnhm	ve onlara la'net eyle
w{lEqbp	ve sonuç
w{lEyn	ve göze
w{lEyr	ve kervana
w{lHb	ve dane(ler)
w{lHfZt	ve koruyan kadınlar
w{lHfZwn	ve koruyanlar
w{lHfZyn	koruyan erkekler
w{lHj	ve hac
w{lHjArp	ve taşlardır
w{lHkm	ve hüküm
w{lHkmp	ve hikmet
w{lHmd	hamdolsun
w{lHmyr	ve merkepleri
w{lHq	ve gerçekten
w{lHrmt	ve hürmetler
w{lHrv	ve ekinlerden (gelen)
w{lHsAb	ve hesabı
w{lHywp	ve hayatı
w{lSAHb	ve arkadaşa
w{lSbH	ve sabaha
w{lSb_wn	ve sabiiler(den)
w{lSb_yn	ve sabiiler
w{lSbrt	ve sabreden kadınlar
w{lSbryn	ve sabrederler
w{lSdqt	ve doğru kadınlar
w{lSdqyn	doğru erkekler
w{lSdyqyn	ve sıddiklarla
w{lSft	andolsun
w{lSlH	ve barış
w{lSlHyn	ve iyileri
w{lSlwp	ve namazı
w{lS}mt	ve oruç tutan kadınlar
w{lS}myn	oruç tutan erkekler
w{lTgwt	ve tağut'a
w{lTyb	temiz
w{lTybt	ve güzel
w{lTybwn	iyi erkekler
w{lTyr	ve kuşlar
w{lZhr	ve zahirdir
w{lZlmwn	zalimlere gelince
w{lZlmyn	ve zalimler
w{lbATn	ve batındır
w{lbAd	ve dışarıdan gelen
w{lbHr	ve denize
w{lbSr	ve göz
w{lbSyr	ve gören
w{lbTl	ve batılı
w{lbdn	kurbanlık develeri
w{lbgAl	ve katırları
w{lbgDA'	ve kin
w{lbgY	ve saldırmayı
w{lbld	ve ülkenin
w{lbnwn	ve oğullar
w{lbnyn	ve oğullardan
w{lbqyt	ve kalıcı olan
w{lbyt	ve eve (Ka'be'ye)
w{ldAr	ve yurdu
w{ldm	ve kan
w{ldwAb	ve hayvanlar
w{lf&Ad	ve gönül
w{lfDp	ve gümüşü
w{lfH$A'	ve fuhşu
w{lflk	ve gemileri
w{lfrqAn	ve furkan
w{lfswq	ve fıskı
w{lftnp	ve fitne
w{lfwH$	ve çirkin işlerden
w{lgnm	ve koyunun
w{lgrmyn	ve borçlulara
w{lgwA	ve gürültü edin
w{lhdY	ve kurbanı
w{ljAn	ve Cinleri
w{ljAr	ve komşuya
w{ljbAl	ve dağlar
w{ljblp	ve nesilleri
w{ljn	ve cin
w{ljrAd	ve çekirge
w{ljrwH	ve yaralara
w{ljsm	ve cisminin
w{ljwE	ve açlık
w{lkZmyn	yutkunurlar
w{lkfAr	ve kafirlere
w{lkfrwn	ve kafirler
w{lkfryn	ve kafirleri
w{lktb	ve Kitap
w{llh	Allah
w{lm$rkt	ve ortak koşan kadınlara
w{lm$rkyn	ve müşrikler(den)
w{lm&lfp	ve ısındırılacak olanlara
w{lm&mnt	ve inanan kadınlar
w{lm&mnwn	ve mü'minler
w{lm&mnyn	mü'min erkekler
w{lm&tfkp	altı üstüne getirilen kentleri
w{lm&tfkt	ve yerlebir olanların
w{lm&twn	verenler
w{lmEtr	ve isteyene
w{lmHSnt	ve namuslu kadınlar
w{lmSdqt	ve sadaka veren kadınlar
w{lmTlqt	boşanmış kadınlar
w{lmgfrp	ve mağfirete
w{lmgrb	batı da
w{lmhjryn	ve Muhacirleri
w{lmjhdwn	ve cihad edenler
w{lmjws	ve mecusiler
w{lmk*byn	ve yalanlayıcıları
w{lmlk	melekler
w{lml}kp	ve melekler
w{lmnfqt	ve münafık kadınlar
w{lmnfqyn	ve münafıklara
w{lmnkr	ve kötülüğü
w{lmnxnqp	ve boğulmuş
w{lmqymY	ve kılarlar
w{lmqymyn	O kılanlar
w{lmrjfwn	kötü haberler yayanlar
w{lmrslt	andolsun gönderilenlere
w{lmrwp	ve Merve
w{lmsjd	ve Mescid-i
w{lmsknp	ve yoksulluk (damgası)
w{lmskyn	ve yoksula
w{lmslmt	ve müslüman kadınlar
w{lmstDEfyn	ve zayıf
w{lmstgfryn	ve istiğfar edenler
w{lmsyH	ve Mesih'i de
w{lmtSdqt	ve sadaka veren kadınlar
w{lmtSdqyn	sadaka veren erkekler
w{lmtrdyp	ve yukarıdan düşmüş
w{lmwEZp	ve öğütle
w{lmwfwn	yerine getirmeleridir
w{lmwqw*p	ve vurulmuş
w{lmwtY	ölülere gelince
w{lmysr	ve kumar
w{lmyzAn	ve ölçüyü
w{ln$Tt	ve çekip alanlara
w{ln$rt	ve yayanlara
w{ln*r	ve uyarılar
w{lnAhwn	ve men'edenler
w{lnAr	ve ateştir
w{lnAs	ve insanların
w{lnSrY	ve hıristiyanlar
w{lnTyHp	ve boynuzlanmış
w{lnbY	Peygambere
w{lnbwp	ve peygamberlik
w{lnbyn	ve peygamberlere
w{lnbywn	ve peygamberlere
w{lnhAr	ve gündüz
w{lnjm	yıldıza andolsun
w{lnjwm	ve yıldızlar
w{lnsA'	ve kadınlar
w{lnsl	ve nesli
w{lnwY	ve çekirdeği
w{lnwm	ve uykuyu
w{lnwr	ve nura
w{lnxl	hurma(ları)
w{lnxyl	ve hurma
w{lnzEt	andolsun söküp çıkaranlara
w{lqAsyp	ve katılaşanlara
w{lqA}lyn	ve diyenleri
w{lqA}myn	ve ayakta duranlar için
w{lqlm	kaleme andolsun
w{lql}d	ve tasmalı kurbanlıkları
w{lqml	ve kımıl (haşerat)
w{lqmr	ve ay
w{lqnTyr	ve kantarlarca
w{lqntt	ve ta'ate devam eden kadınlar
w{lqntyn	ve gönülden itaat edenler
w{lqr'An	ve Kur'an'ı
w{lqwEd	ve (ihtiyar) oturan
w{lrbnywn	ve Rabbanilere
w{lrhbAn	ve rahipler(den)
w{lrjz	ve pislikten
w{lrkE	ve rüku edenler
w{lrkb	ve kervan da
w{lrmAn	ve nar
w{lrqym	ve Rakim
w{lrswl	ve Elçi
w{lrsxwn	ileri gidenler
w{lrwH	ve ruh
w{lsAEp	ve sa'atte
w{lsArq	ve hırsızlık eden erkeğin
w{lsArqp	ve hırsızlık eden kadının
w{lsA}lyn	ve dilencilere
w{lsEp	ve servet
w{lsHAb	ve bulutları
w{lsbHt	yüzüp gidenlere
w{lsbqwn	öne geçenlerden
w{lslm	ve Esenlik
w{lslsl	ve zincirler
w{lslwY	ve bıldırcın
w{lsmA'	ve göğü
w{lsmwt	ve gökler
w{lsmyE	ve işitenin
w{lsn	ve dişe
w{lsqf	ve tavana (göğe)
w{lsrA'	ve sevinç
w{lsw'	ve kötülük
w{lsy_At	ve kötülüklerle
w{ltft	ve dolaşır
w{ltqwY	ve takva
w{ltwrYp	ve Tevrat'ı
w{ltyn	incire andolsun
w{lvmrt	ve ürünlerinizin
w{lwldn	ve çocuklar
w{lwldt	ve anneler
w{lwzn	ve tartı
w{lx$Et	ve  saygılı kadınlar
w{lx$Eyn	saygılı erkekler
w{lxbyvwn	kötü erkekler
w{lxmsp	beşinci defa da
w{lxnAzyr	ve domuzlar
w{lxwf	ve korku
w{lxyl	ve atları
w{lxyr	ve hayır ile
w{lyl	geceye
w{lysE	ve Elyesa'ı
w{lytmY	ve öksüzler
w{lywm	ve gününe
w{lzAnY	ve zina eden erkeğe
w{lzAnyp	ve zina eden kadın
w{lzbr	ve Kitapları
w{lzkwp	zekat vermeyi
w{lzrE	ve ekin(ler)i
w{lzytwn	ve zeytin
w{mDwA	ve gidin
w{mr>p	ve kadını
w{mr>t	ve karısını
w{mr>tAn	iki kadın
w{mr>tY	ve karım da
w{mr>th	ve karısı
w{msHwA	ve meshedin
w{mtzwA	şöyle ayrılın
w{n$q	ve yarıldı
w{n$qt	yarılmıştır
w{nSrnA	bize yardım eyle
w{nSrwA	ve yardım edin
w{nTlq	ve fırladı
w{nZr	ve bak
w{nZrnA	ve bize bak
w{nZrwA	ve bakın
w{nh	ve vazgeçir
w{nqlbwA	ve düştüler
w{ntSrwA	ve üstün gelmeğe çalışanlar
w{ntZr	ve bekle
w{ntZrwA	ve bekleyin
w{qEdwA	ve otur(up) bekleyin
w{qSd	ve tutumlu ol
w{qtlwhm	ve öldürün
w{qtrb	ve yaklaşır
w{rEwA	ve otlatın
w{rHm	ve acı
w{rHmnA	ve bize acı
w{rjEwA	ve dönün
w{rjwA	ve umun
w{rkEY	ve (huzurunda) eğil
w{rkEwA	ve ruku edin
w{rtAbt	ve kuşkuya düşen
w{rtbtm	ve kuşkulandınız
w{rtqbwA	gözetleyin
w{rzq	ve rızıklandır
w{rzqhm	ve onları rızıklandır
w{rzqnA	bizi rızıklandır
w{rzqwhm	ve onları besleyin
w{sjd	secde et
w{sjdY	ve secde et
w{sjdwA	ve secde edin
w{smE	ve dinle
w{smEwA	ve dinleyin
w{st$hdwA	şahid tutun
w{stEmrkm	ve size ömür sürdürdü
w{stEynwA	yardım dileyin
w{stHywA	ve sağ bırakın
w{stbqA	ve koşuştular
w{stftHwA	fetih istediler
w{stfzz	yerinden oynat
w{stg$wA	ve başlarına çektiler
w{stgfr	ve istiğfar et
w{stgfrY	(kadın) sen de bağışlanmasını dile
w{stgfrh	ve O'ndan mağfiret dile
w{stgfrwA	ve mağfiret dileyin
w{stgfrwh	ve O'ndan mağfiret dileyin
w{stgnY	muhtaç olmadığını gösterdi
w{stkbr	ve kibirlendi
w{stkbrt	ve büyüklük tasladın
w{stkbrtm	siz tenezzül etmemişseniz
w{stkbrwA	ve büyüklenenler
w{stmE	ve dinle
w{stmtEtm	ve sefa sürdünüz
w{stqm	ve doğru ol
w{strhbwhm	ve onları ürküttüler
w{stwY	ve olgunlaşınca
w{stwt	ve oturdu
w{styqnthA	kanaat getirdiği halde
w{tbE	uy
w{tbEk	uymuşken
w{tbEnA	ve uyduk
w{tbEt	ve uydum
w{tbEthm	ve kendilerine uyanlar
w{tbEwA	ve uyun
w{tbEwh	O'na uyun ki
w{tbEwn	ve bana uyun
w{tl	oku
w{tq	ve kork
w{tqY	ve (günahtan) korunursa
w{tqwA	korkun
w{tqwh	ve O'ndan korkun
w{tqwn	ve benden sakının
w{tqyn	ve korkun
w{trk	ve bırak
w{tx*	ve tuttu
w{tx*tmwh	onu bıraktınız
w{tx*wA	ve edindiler
w{x$wA	ve çekinin
w{x$wn	benden korkun
w{x$wnY	benden çekinin
w{xfD	ve indir
w{xtAr	ve seçti
w{xtlf	ve değişmesinde
w{xtlfwA	ve ihtilaf edenler
w{zdAdwA	ve ilave ettiler
w{zynt	ve süslendiği
x$EA	korkarak
x$Ep	korkulu
x$Eyn	saygılıdırlar
x$Y	korkanlar
x$b	odunlar
x$yp	saygı-
x$yt	korktum
x$yth	O'nun korkusu-
x*	al
x*hA	al onu
x*wA	alın
x*wh	tutun onu
xADwA	dalanlar
xASp	yalnızca
xATbhm	kendilerine laf atarsa
xAb	perişan olmuştur
xAf	korkan
xAfDp	o alçaltıcıdır
xAft	korkarsa
xAfwA	çekinsinler
xAlSA	halis
xAlSp	yalnız
xAlk	dayının
xAnwA	hainlik yapmışlardı
xAs}A	umudu keserek
xAwyp	çökmüştür
xA}fA	korka korka
xA}fyn	korka korka
xA}np	hainlik
xDr	yeşil
xDrA	yeşil
xSASp	ihtiyaçları
xSmAn	iki hasım taraf
xSym	bir hasım
xT_A	günahtır
xTbk	senin amacın
xTbkm	işiniz
xTbkmA	sizin işiniz
xTbkn	durumunuz
xTbp	evlenme isteğinizi
xTf	kapan
xTwt	adımlarını
xTy_p	bir hata
xTy_tY	hatamı
xTy_th	suçu
xTy_thm	hatalarından
xTy_tkm	hatalarınızı
xTyhm	onların hataları-
xTykm	hatalarınızı
xTynA	hatalarımızı
xbAlA	bozmaktan
xbt	(ateş) dindiği
xbv	kötü
xbyr	haberdardır
xbyrA	bilir
xbyvp	kötü
xbzA	ekmek
xdEhm	onları aldatır
xdk	yüzünü
xfAfA	(gerek) hafif olarak
xfY	gizli gizli
xff	hafifletti
xft	korktum
xftkm	sizden korkunca
xftm	korkarsanız
xfyfA	hafif
xlA	(gelip) geçmiş
xlSwA	(bir kenara) çekildiler
xlTwA	birbirine karıştırdılar
xld	ebedi kalan
xldA	sürekli kalacağı
xldyn	kalırlar
xlf	çapraz
xlfA'	hakimler
xlfh	arkası-
xlfhA	ardından gelen
xlfhm	arkalarında
xlfk	senin ardından
xlfkm	arkanızdaki
xlfnA	arkamızda
xlfp	birbirini izler
xlftmwnY	arkamdan
xlfwA	geri bırakılan
xll	aralarına girip
xllh	arası-
xllhA	arasında
xllhmA	aralarından
xllkm	aranıza
xlp	dostluğun
xlq	yarattı
xlqA	yaratık
xlqh	yarattığı
xlqhA	yarattı
xlqhm	onları yarattı
xlqhn	onları yaratan
xlqk	seni yarattı
xlqkm	sizi yarattı
xlqnA	çevirdik
xlqnY	beni yaratan
xlqnh	yarattık
xlqnhm	onları yarattık
xlqnhmA	onları yaratmadık
xlqnkm	sizi yarattık
xlqt	yaratmadın
xlqth	yarattığın
xlqtk	seni de yaratmıştım
xlqtnY	beni yarattın
xlqwA	yaratan
xlt	geçen
xltk	teyzelerinin
xltkm	teyzelerinizin
xlwA	geçenler
xlyfp	hükümdar
xl}f	halifeler
xmT	buruk
xmr	şarap-
xmrA	şarap
xmsh	beşte biri
xmsp	beştir
xmsyn	elli
xnzyr	domuz
xr	düşmüş
xrAbhA	onların harabolmasına
xrdl	hardal
xrjA	bir vergi
xrjn	kendileri çıkarlarsa
xrjt	çıkarsan (yola)
xrjtm	çıkmış
xrjwA	çıkan
xrqhA	onu deliverdi
xrwA	kapanırlardı
xrwj	çıkmak için
xsfnA	batırdık
xsr	o kaybetmiştir
xsrAnA	bir ziyanla
xsrwA	ziyan edenlerdir
xtAr	gaddarlardan
xtm	mühürlemiştir
xtmh	ki onun sonu
xwAn	hain
xwAnA	hainlik yapan
xwAr	böğürmesi
xwD	batıl şeyler
xwDhm	daldıkları bataklıkta
xwf	korku
xwfA	korku
xwfhm	korkularının
xwlh	ona verdiği
xwlnh	ona verdiğimiz
xwlnkm	sizi hayaline daldırdığımız
xyAnp	hiyanet etmesinden
xyAntk	sana hainlik yapmak
xyfp	bir korku
xyfth	korkusundan
xyl	bir at
xyr	iyi
xyrA	hayr
xyrt	iyi huylu (kadınlar)
xzA}n	hazineleri
xzA}nh	hazineleri
xzY	rezillik
xznthA	onun bekçileri
y$<	dilese
y$>	dilese
y$A'	dilerse
y$A'wn	diledikleri
y$Aq	karşı gelirse
y$Aqq	karşı gelir
y$Erkm	şuurunda
y$Ern	sezdirmesin
y$Erwn	bilmezler
y$Eyb	Şuayb
y$fE	destek olursa
y$fEwn	şefa'at edemezler
y$hd	şahidtir
y$hdh	ona tanık olurlar
y$hdwn	şahidlik edecek
y$kr	şükreder
y$qq	çatlayıverir de
y$rH	açar
y$rY	satar
y$rb	içerler
y$rbwn	içerler
y$rk	ortak koşan
y$rkn	ortak koşmamaları
y$rkwn	ortak koşmayacaklar
y$rwn	satan(lar)
y$thwn	arzu ettikleri
y$trY	satın alır
y$trwn	satanlar
y$wY	haşlayan
y&*Y	incitiyordu
y&*n	izin verilmez
y&*wn	incitirler
y&*yn	incitilmemesi için
y&Ax*	cezalandırsaydı
y&Ax*hm	onları hemen cezalandırsaydı
y&Ax*km	sorumlu tutar
y&dh	onu öder
y&fk	çevriliyor
y&lf	birleştirir
y&lwn	yaklaşmamağa yemin edenler
y&mn	inanan
y&mnwA	inanmazlar
y&mnwn	inanan
y&t	verilen
y&tY	verir
y&tkm	size verir
y&twA	(bir şey) vermemeğe
y&twn	verilir
y&tyh	vereceği
y&tyhm	verecektir
y&tyn	bana verebilir
y&x*	alınmaz
y&xr	ertelemez
y&xrhm	ertelemektedir
y&yd	destekler
y*bH	kesiyordu
y*bHwn	boğazlayıp
y*hb	alır
y*hbkm	sizi götürür
y*hbn	giderir
y*hbwA	gitmezler
y*kr	anılan
y*krhm	onları diline dolayan
y*krwn	anarlar
y*r&km	sizi üretiyor
y*wqwA	onlar henüz tadmadılar
y*wqwn	tadmazlar
y<blys	İblis
y<brhym	İbrahim
y>*n	izin verinceye
y>b	kaçınmasınlar
y>bAnA	babamız
y>bt	babacığım
y>hl	ehli
y>jwj	Ye'cuc
y>kl	yer
y>klAn	yerlerdi
y>klh	onu yer
y>klhn	yiyorlar
y>kln	yeyip bitirir
y>klwA	yesinler
y>klwn	yerler
y>lmwn	acı çekmektedirler
y>lwnkm	onlar sizi geri durmazlar
y>mn	emin
y>mnwkm	sizden emin olmak
y>mr	emreden
y>mrhm	kendilerine emreden
y>mrkm	size emreder
y>mrwn	emreden
y>rD	yer
y>sfY	kederim
y>t	getirir
y>tY	gelir
y>th	O'na gelirse
y>thm	kendilerine gelse
y>tk	sana gelmeyen
y>tkm	gelmedi-
y>tl	yemin etmesinler
y>tmrwn	aralarında konuşuyorlar
y>twA	getirmek
y>twk	sana gelsinler
y>twkm	size geldiklerinde
y>twn	getirmeleri
y>twnY	bana gelmelerinden
y>twnk	sana getiremezler
y>twnnA	bize geldikleri
y>tyh	geliyor
y>tyhA	kendisine geliyordu
y>tyhm	gelmesini
y>tyk	sana gelinceye
y>tykm	size getirir
y>tykmA	size gelmez
y>tyn	gelen
y>tynA	bize getirmeli
y>tynY	bana getirir
y>tynhA	fuhuş yaparsa
y>tynk	sana gelecekler
y>tynkm	size gelirse
y>wlY	sahipleri
